
Single datacenter : one node  

[root@cassandra01 conf]# nodetool ring

Datacenter: datacenter1
==========
Address      Rack        Status State   Load            Owns                Token
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3898065077621161843
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3783934453003446559
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3746847478645783447
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3682700773992056832
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3607961161441210528
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3549793497826259910
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3514363324918990236
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3446829936997159364
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3385864422436325374
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3206235385908457109
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -3103409889253329084
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2902128341957265218
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2775631343209480911
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2736068842461551347
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2711764688306714908
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2628039793268788446
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2289118026953754726
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2270555333598776349
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2239613601927750362
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -2171835523021725308
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1990620174375852665
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1955709993187202778
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1937948276713837342
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1810874136241291163
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1783740210296772559
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1757134538235808275
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1688696741643754315
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1614327060705747985
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1513604584498968886
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1499759721863215801
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1424595057731621447
172.20.0.41  rack1       Up     Normal  1.61 MiB        100.00%             -1369567490058220253
